27.5	1	13.75	0.5	0.2399827721	0.0087266463	3.2455859809	0.1157468776	1	0.0504348999	3	5.6215198193	0.2004794729
46	1	23	0.5	0.401425728	0.0087266463	1.9743243979	0.0405895237	1.6438970133	0.0676698641	8	5.5842326801	0.1148045099
54	1	27	0.5	0.471238898	0.0087266463	1.6992205794	0.0291025638	1.9100439462	0.0755656924	11	5.6356770979	0.0965222846
66.5	1	33.25	0.5	0.5803219763	0.0087266463	1.4069661241	0.0187272081	2.3067975308	0.087810087	16	5.6278644963	0.0749088325
73	1	36.5	0.5	0.637045177	0.0087266463	1.2969072759	0.0152949275	2.5025582332	0.0940017474	19	5.6530877547	0.0666690435
84	1	42	0.5	0.7330382858	0.0087266463	1.1528840449	0.0111736629	2.8151885659	0.1040391367	24	5.647955285	0.0547395452
90.5	1	45.25	0.5	0.7897614865	0.0087266463	1.0862375184	0.0093968477	2.9879155581	0.1096478011	27	5.6442557127	0.048827453
101	1	50.5	0.5	0.8813912723	0.0087266463	0.9997478263	0.007191878	3.2464046386	0.1181079651	32	5.6554277399	0.0406834055
107.5	1	53.75	0.5	0.9381144729	0.0087266463	0.9565815134	0.0061208224	3.3929005898	0.1229327146	35	5.6592125521	0.0362112738
119	1	59.5	0.5	1.0384709049	0.0087266463	0.8953155666	0.0046022689	3.6250748919	0.130616592	40	5.6624728303	0.0291073045
126.5	1	63.25	0.5	1.1039207519	0.0087266463	0.8638837519	0.003799872	3.7569707427	0.1349995792	43	5.6648645952	0.0249174271
141.5	1	70.75	0.5	1.2348204458	0.0087266463	0.8171157416	0.0024901449	3.9720027603	0.1421692211	48	5.6611439202	0.0172522302
153	1	76.5	0.5	1.3351768778	0.0087266463	0.7933503328	0.0016621343	4.0909871044	0.146147841	51	5.6656546208	0.0118700133
